Number of Cars,Application Frames per Second,
19,60,
19,60,
19,60,
19,60,
19,60,
19,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
22,60,
22,60,
22,60,
22,60,
22,60,
22,60,
22,60,
23,60,
23,60,
23,60,
23,60,
23,60,
23,60,
23,60,
24,60,
24,60,
24,60,
24,60,
24,60,
24,60,
24,60,
26,60,
26,60,
26,60,
26,60,
26,60,
26,60,
26,60,
28,60,
28,60,
28,60,
28,60,
28,60,
28,60,
28,60,
30,60,
30,60,
30,60,
30,60,
30,60,
30,60,
30,60,
30,60,
30,60,
30,60,
30,60,
30,60,
30,60,
30,60,
33,60,
33,60,
33,60,
33,60,
33,60,
33,60,
33,60,
34,60,
34,60,
34,60,
34,60,
34,60,
34,60,
34,60,
37,60,
37,60,
37,60,
37,60,
37,60,
37,60,
37,60,
38,60,
38,60,
38,60,
38,60,
38,60,
38,60,
38,60,
40,60,
40,60,
40,60,
40,60,
40,60,
40,60,
40,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
44,60,
44,60,
44,60,
44,60,
44,60,
44,60,
44,60,
46,60,
46,60,
46,60,
46,60,
46,60,
46,60,
46,60,
47,60,
47,60,
47,60,
47,60,
47,60,
47,60,
47,60,
48,60,
48,60,
48,60,
48,60,
48,60,
48,60,
48,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
50,60,
50,60,
50,60,
50,60,
50,60,
50,60,
50,60,
51,60,
51,60,
51,60,
51,60,
51,60,
51,60,
51,60,
52,60,
52,60,
52,60,
52,60,
52,60,
52,60,
52,60,
54,60,
54,60,
54,60,
54,60,
54,60,
54,60,
54,60,
54,60,
54,60,
54,60,
54,60,
54,60,
54,60,
54,60,
58,60,
58,60,
58,60,
58,60,
58,60,
58,60,
58,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
62,60,
62,60,
62,60,
62,60,
62,60,
62,60,
62,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
63,60,
62,60,
64,60,
64,60,
64,60,
64,60,
64,60,
64,60,
64,60,
65,60,
65,60,
65,60,
65,60,
65,60,
65,60,
65,60,
66,60,
66,60,
66,60,
66,60,
66,60,
66,60,
64,60,
66,60,
66,60,
66,60,
66,60,
66,60,
66,60,
66,60,
68,60,
68,60,
68,60,
68,60,
68,60,
68,60,
68,60,
68,60,
68,60,
68,60,
68,60,
68,60,
68,60,
66,60,
68,60,
68,60,
68,60,
68,60,
68,60,
68,60,
68,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
71,60,
71,60,
71,60,
71,60,
71,60,
71,60,
68,60,
69,60,
69,60,
69,60,
69,60,
69,60,
69,60,
69,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
71,60,
71,60,
71,60,
71,60,
71,60,
71,60,
68,60,
69,60,
69,60,
69,60,
69,60,
69,60,
69,60,
69,60,
71,60,
71,60,
71,60,
71,60,
71,60,
71,60,
71,60,
73,60,
73,60,
73,60,
73,60,
73,60,
73,60,
69,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
71,60,
71,60,
71,60,
71,60,
71,60,
71,60,
71,60,
73,60,
73,60,
73,60,
73,60,
73,60,
73,60,
69,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
70,60,
73,60,
73,60,
73,60,
73,60,
73,60,
73,60,
71,60,
73,60,
73,60,
73,60,
73,60,
73,60,
73,60,
73,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
73,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
74,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
76,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
83,60,
83,60,
83,60,
83,60,
83,60,
83,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
83,60,
83,60,
83,60,
83,60,
83,60,
83,60,
79,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
77,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
79,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
83,60,
83,60,
83,60,
83,60,
83,60,
83,60,
79,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
83,60,
83,60,
83,60,
83,60,
83,60,
83,60,
79,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
83,60,
83,60,
83,60,
83,60,
83,60,
83,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
78,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
78,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
78,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
78,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
77,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
76,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
75,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
74,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
74,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
74,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
73,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
72,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
72,60,
72,60,
72,60,
72,60,
72,60,
72,60,
72,60,
72,60,
73,60,
73,60,
73,60,
73,60,
73,60,
73,60,
73,60,
74,60,
74,60,
74,60,
74,60,
74,60,
74,60,
70,60,
72,60,
72,60,
72,60,
72,60,
72,60,
72,60,
72,60,
73,60,
73,60,
73,60,
73,60,
73,60,
73,60,
73,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
72,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
74,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
76,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
75,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
78,60,
79,60,
79,60,
79,60,
79,60,
79,60,
79,60,
76,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
77,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
83,60,
83,60,
83,60,
83,60,
83,60,
83,60,
79,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
81,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
84,60,
84,60,
84,60,
84,60,
84,60,
84,60,
80,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
83,60,
83,60,
83,60,
83,60,
83,60,
83,60,
83,60,
84,60,
84,60,
84,60,
84,60,
84,60,
84,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
80,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
82,60,
83,60,
83,60,
83,60,
83,60,
83,60,
83,60,
80,60,
83,60,
83,60,
83,60,
83,60,
83,60,
83,60,
83,60,
85,60,
85,60,
85,60,
85,60,
85,60,
85,60,
85,60,
88,60,
88,60,
88,60,
88,60,
88,60,
88,60,
85,60,
86,60,
86,60,
86,60,
86,60,
86,60,
86,60,
86,60,
88,60,
88,60,
88,60,
88,60,
88,60,
88,60,
88,60,
90,60,
90,60,
90,60,
90,60,
90,60,
90,60,
86,60,
88,60,
88,60,
88,60,
88,60,
88,60,
88,60,
88,60,
89,60,
89,60,
89,60,
89,60,
89,60,
89,60,
89,60,
92,60,
92,60,
92,60,
92,60,
92,60,
92,60,
88,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
93,60,
93,60,
93,60,
93,60,
93,60,
93,60,
89,60,
90,60,
90,60,
90,60,
90,60,
90,60,
90,60,
90,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
93,60,
93,60,
93,60,
93,60,
93,60,
89,60,
90,60,
90,60,
90,60,
90,60,
90,60,
90,60,
90,60,
90,60,
90,60,
90,60,
90,60,
90,60,
90,60,
90,60,
93,60,
93,60,
93,60,
93,60,
93,60,
93,60,
89,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
91,60,
92,60,
92,60,
92,60,
92,60,
92,60,
92,60,
92,60,
93,60,
93,60,
93,60,
93,60,
93,60,
93,60,
89,60,
91,60,
91,60,
91,60,
91,60,
19,60,
19,60,
19,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
20,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
21,60,
22,60,
22,60,
22,60,
22,60,
22,60,
22,60,
22,60,
26,60,
26,60,
26,60,
26,60,
26,60,
26,60,
26,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
27,60,
29,60,
29,60,
29,60,
29,60,
29,60,
29,60,
29,60,
30,60,
30,60,
30,60,
30,60,
30,60,
30,60,
30,60,
31,60,
31,60,
31,60,
31,60,
31,60,
31,60,
31,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
32,60,
33,60,
33,60,
33,60,
33,60,
33,60,
33,60,
33,60,
34,60,
34,60,
34,60,
34,60,
34,60,
34,60,
35,60,
35,60,
35,60,
35,60,
35,60,
35,60,
37,60,
37,60,
37,60,
37,60,
37,60,
37,60,
38,60,
38,60,
38,60,
38,60,
38,60,
38,60,
40,60,
40,60,
40,60,
40,60,
40,60,
40,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
41,60,
42,60,
42,60,
42,60,
42,60,
42,60,
42,60,
43,60,
43,60,
43,59,
43,59,
43,59,
43,59,
43,59,
43,59,
43,59,
43,59,
43,59,
43,59,
44,59,
44,59,
44,59,
44,59,
44,59,
44,59,
45,59,
45,59,
45,59,
45,59,
45,59,
45,59,
45,59,
45,59,
45,59,
45,59,
45,59,
45,59,
46,59,
46,59,
46,59,
46,59,
46,59,
46,59,
47,59,
47,59,
47,59,
47,59,
47,59,
47,59,
48,59,
48,59,
48,59,
48,59,
48,59,
48,59,
48,59,
48,59,
47,59,
47,59,
47,59,
46,59,
46,59,
46,59,
46,59,
46,59,
46,59,
46,59,
47,59,
47,59,
47,60,
47,60,
47,60,
47,60,
48,60,
48,60,
48,60,
48,60,
47,60,
47,60,
47,60,
47,60,
47,60,
47,60,
47,60,
44,60,
46,60,
46,60,
46,60,
46,60,
45,60,
45,60,
47,60,
47,60,
47,60,
47,60,
47,60,
47,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
51,60,
51,60,
50,60,
50,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
48,60,
48,60,
48,60,
48,60,
48,60,
48,60,
48,60,
49,60,
49,60,
49,60,
49,60,
48,60,
48,60,
50,60,
50,60,
50,60,
50,60,
50,60,
50,60,
50,60,
50,60,
50,60,
50,60,
50,60,
50,60,
51,60,
51,60,
51,60,
51,60,
50,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
48,60,
49,60,
48,60,
48,60,
47,60,
47,60,
47,60,
47,60,
47,60,
47,60,
47,60,
47,60,
46,60,
48,60,
48,60,
48,60,
47,60,
47,60,
47,60,
49,60,
49,60,
49,60,
49,60,
48,60,
48,60,
50,60,
50,60,
50,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
49,60,
51,60,
51,60,
51,60,
51,60,
51,60,
51,60,
51,60,
50,60,
50,60,
49,60,
49,60,
49,60,
50,60,
50,60,
50,60,
50,60,
50,60,
49,60,
51,60,
51,60,
51,60,
51,60,
51,60,
51,60,
53,60,
53,60,
53,60,
52,60,
52,60,
50,60,
50,60,
50,60,
50,60,
50,60,
50,60,
48,60,
48,60,
48,60,
48,60,
48,60,
48,60,
48,60,
48,60,
48,60,
48,60,
48,60,
48,60,
47,60,
50,60,
50,60,
50,60,
50,60,
50,60,
50,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
53,60,
55,60,
55,60,
55,60,
54,60,
54,60,
54,60,
56,60,
56,60,
56,60,
56,60,
56,60,
55,60,
55,60,
55,60,
55,60,
55,60,
55,60,
55,60,
56,60,
56,60,
56,60,
56,60,
56,60,
54,60,
55,60,
55,60,
55,60,
54,60,
54,60,
53,60,
56,60,
56,60,
56,60,
56,60,
56,60,
54,60,
55,60,
55,60,
55,60,
55,60,
55,60,
55,60,
58,60,
58,60,
58,60,
57,60,
57,60,
57,60,
57,60,
57,60,
57,60,
57,60,
57,60,
57,60,
60,60,
60,60,
60,60,
60,60,
59,60,
59,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
63,60,
63,60,
62,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
59,60,
59,60,
59,60,
59,60,
59,60,
59,60,
59,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
59,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
62,60,
62,60,
62,60,
62,60,
62,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
62,60,
62,60,
62,60,
61,60,
61,60,
61,60,
63,60,
63,60,
63,60,
62,60,
62,60,
60,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
62,60,
62,60,
62,60,
62,60,
62,60,
62,60,
63,60,
63,60,
63,60,
63,60,
63,60,
62,60,
62,60,
62,60,
62,60,
61,60,
61,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
61,60,
60,60,
59,60,
59,60,
61,60,
61,60,
61,60,
61,60,
61,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
60,60,
59,60,
59,60,
61,60,
61,60,
61,60,
60,60,
60,60,
58,60,
59,60,
59,60,
59,60,
59,60,
59,60,
58,60,
58,60,
58,60,
58,60,
58,60,
58,60,
58,60,
60,60,
59,60,
59,60,
59,60,
59,60,
59,60,
59,60,
59,60,
59,60,
59,60,
58,60,
58,60,
58,60,
58,60,
58,60,
58,60,
58,60,
57,60,
58,60,
58,60,
58,60,
58,60,
58,60,
57,60,
57,60,
57,60,
56,60,
56,60,
56,60,
56,60,
57,60,
57,60,
56,60,
56,60,
56,60,
56,60,
57,60,
57,60,
57,60,
56,60,
56,60,
55,60,
57,60,
57,60,
57,60,
57,60,
57,60,
57,60,
58,60,
58,60,
58,60,
58,60,
58,60,
57,60,
58,60,
58,60,
58,60,
58,60,
57,60,
57,60,
58,60,
58,60,
58,60,
57,60,
57,60,
57,60,
58,60,
58,60,
57,60,
57,60,
57,60,
57,60,
57,60,
57,60,
57,60,
57,60,
56,60,
56,60,
57,60,
57,60,
57,60,
57,60,
56,60,
56,60,
56,60,
56,60,
56,60,
56,60,
56,60,
56,60,
57,60,
57,60,
57,60,
57,60,
57,60,
56,60,
56,60,
55,60,
55,60,
55,60,
55,60,
55,60,
55,60,
55,60,
55,60,
55,60,
55,60,
54,60,
54,60,
54,60,
54,60,
54,60,
54,60,
54,60,
55,60,
55,60,
55,60,
54,60,
54,60,
54,60,
56,60,
56,60,
56,60,
56,60,
56,60,
54,60,
55,60,
55,60,
54,60,
54,60,
54,60,
54,60,
55,60,
55,60,
55,60,
55,60,
55,60,
55,60,
56,60,
55,60,
55,60,
55,60,
55,60,
55,60,
58,60,
58,60,
58,60,
58,60,
58,60,
58,60,
58,60,
58,60,
57,60,
57,60,
57,60,
57,60,
57,60,
57,60,
57,60,
57,60,
56,60,
55,60,
55,60,
55,60,
55,60,
54,60,
54,60,
54,60,
56,60,
55,60,
55,60,
55,60,
55,60,
55,60,
56,60,
56,60,
56,60,
56,60,
56,60,
56,60,
59,60,
59,60,
58,60,
58,60,
58,60,
57,60,
58,60,
57,60,
57,60,
57,60,
57,60,
57,60,
59,60,
59,60,
59,60,
59,60,
59,60,
59,60,
62,60,
62,60,
62,60,
61,60,
61,60,
60,60,
62,60,
62,60,
61,60,
60,60,
60,60,
60,60,
62,60,
